-48.90000, -25.59642, "[73972-]"
-51.35511, -29.40239, "[73941-]"
-47.96144, -15.89189, "[73933-]"
-47.94725, -15.86897, "[73932-]"
-50.23158, -29.96017, "[73920-]"
-51.27647, -29.65183, "[73913-]"
-50.21811, -29.97833, "[73911-]"
-51.27928, -29.64931, "[73908-]"
-46.50744, -23.89592, "[73840-]"
-47.89667, -21.93500, "[73828-]"
-50.23053, -29.96125, "[73826-]"
-49.94358, -29.57956, "[73825-]"
-49.89250, -29.50903, "[73824-]"
-49.79042, -29.40269, "[73823-]"
-49.44539, -28.94403, "[73822-]"
-43.41136, -22.99983, "[73797-]"
-49.42114, -28.94294, "[73778-]"
-49.41314, -28.94261, "[73764-]"
-47.90597, -15.83825, "[73745-]"
-51.00936, -29.64444, "[73667-]"
-51.34294, -29.61142, "[73641-]"
-51.34619, -29.61047, "[73640-]"
-47.89803, -15.81478, "[73589-]"
-47.91578, -15.82772, "[73588-]"
-48.04442, -15.98756, "[73525-]"
-48.03303, -15.97733, "[73524-]"
-35.45081, -5.87794, "[73495-]"
-51.88103, -29.70578, "[73385-]"
-47.98250, -15.78958, "[73360-]"
-47.88206, -15.69967, "[73336-]"
-47.98731, -15.94069, "[73295-]"
-47.33375, -23.51142, "[73274-]"
-50.99294, -29.99119, "[73262-]"
-51.29253, -29.66650, "[73236-]"
-51.26733, -29.66933, "[73235-]"
-48.02061, -15.87722, "[73233-]"
-47.98169, -23.59119, "[73229-]"
-47.86250, -15.76378, "[73199-]"
-48.74769, -23.93397, "[73171-]"
-53.24014, -29.71708, "[73166-]"
-51.07003, -29.88919, "[73165-]"
-51.08297, -29.88306, "[73164-]"
-49.76564, -29.34614, "[73157-]"
-49.78161, -29.38831, "[73156-]"
-51.20228, -29.34611, "[73155-]"
-47.98764, -15.94147, "[73119-]"
-55.37711, -22.44597, "[73100-]"
-47.09997, -22.81917, "[72988-]"
-47.09769, -22.82189, "[72987-]"
-46.76442, -24.16711, "[72986-]"
-46.95347, -24.26506, "[72985-]"
-50.23244, -30.15972, "[72980-]"
-38.39372, -12.93439, "[72978-]"
-43.81783, -22.67281, "[72955-]"
-45.90103, -23.21558, "[72843-]"
-38.46417, -12.95900, "[72827-]"
-43.39364, -22.97303, "[72809-]"
-43.39364, -22.97314, "[72808-]"
-45.81792, -23.26875, "[72794-]"
-43.21875, -22.81217, "[72772-]"
-47.99386, -15.95097, "[72712-]"
-47.89581, -21.93950, "[72692-]"
-43.35111, -23.00019, "[72690-]"
-47.96814, -15.91211, "[72681-]"
-50.39272, -30.16261, "[72673-]"
-47.92564, -15.84539, "[72652-]"
-45.42881, -21.61239, "[72648-]"
-38.45514, -12.96711, "[72640-]"
-38.45903, -12.96217, "[72639-]"
-38.42700, -12.95242, "[72638-]"
-38.42889, -12.95611, "[72637-]"
-38.44786, -12.97294, "[72628-]"
-42.91769, -22.93336, "[72622-]"
-43.23975, -22.81681, "[72605-]"
-46.57914, -23.10100, "[72527-]"
-47.88725, -15.75258, "[72517-]"
-47.11958, -22.80706, "[72508-]"
-47.13161, -22.79967, "[72507-]"
-40.36244, -20.49942, "[72490-]"
-40.36311, -20.50031, "[72489-]"
-47.88239, -15.76822, "[72473-]"
-48.04378, -15.93378, "[72440-]"
